Address, Offset, Name, Disasm, Value
"0x4f8d30", "0xf8d30", "flt_4F8D30", "dd 8.0009995", "8.00099945068359375"
"0x4f8d34", "0xf8d34", "flt_4F8D34", "dd 2.1336e1", "2.13360004425048828125e1"
"0x4f8d38", "0xf8d38", "flt_4F8D38", "dd 6.0000002e-1", "6.0000002384185791015625e-1"
"0x4f8d3c", "0xf8d3c", "flt_4F8D3C", "dd 8.0e1", "8.e1"
"0x4f8d40", "0xf8d40", "flt_4F8D40", "dd 4.0e1", "4.e1"
"0x4f8d44", "0xf8d44", "flt_4F8D44", "dd -4.0e1", "-4.e1"
"0x4f8d6c", "0xf8d6c", "flt_4F8D6C", "dd 1.0668e1", "1.066800022125244140625e1"
"0x4f8d70", "0xf8d70", "flt_4F8D70", "dd 1.83", "1.83000004291534423828125"
"0x4f8d74", "0xf8d74", "flt_4F8D74", "dd 2.8575001", "2.8575000762939453125"
"0x4f8d9c", "0xf8d9c", "flt_4F8D9C", "dd 5.0289998", "5.028999805450439453125"
"0x4f8da0", "0xf8da0", "flt_4F8DA0", "dd 3.0500002", "3.05000019073486328125"
"0x4f8da4", "0xf8da4", "flt_4F8DA4", "dd 1.6666667e-1", "1.66666671633720397949219e-1"
"0x4f8dcc", "0xf8dcc", "flt_4F8DCC", "dd 1.143", "1.14300000667572021484375"
"0x4f8de0", "0xf8de0", "flt_4F8DE0", "dd 1.1920929e-6", "1.1920928955078125e-6"
"0x4f8de4", "0xf8de4", "flt_4F8DE4", "dd 1.1772001e1", "1.17720012664794921875e1"
"0x4f8df0", "0xf8df0", "flt_4F8DF0", "dd 1.0", "1."
"0x4f8df4", "0xf8df4", "flt_4F8DF4", "dd 3.0", "3."
"0x4f8f28", "0xf8f28", "flt_4F8F28", "dd -2.0", "-2."
"0x4f8f2c", "0xf8f2c", "flt_4F8F2C", "dd 4.5000002e-2", "4.50000017881393432617188e-2"
"0x4f8f30", "0xf8f30", "flt_4F8F30", "dd 1.3333333e1", "1.333333301544189453125e1"
"0x4f8f34", "0xf8f34", "flt_4F8F34", "dd 1.3e1", "1.3e1"
"0x4f8f38", "0xf8f38", "flt_4F8F38", "dd 4.4999999e-1", "4.49999988079071044921875e-1"
"0x4f8f3c", "0xf8f3c", "flt_4F8F3C", "dd -2.2222223", "-2.22222232818603515625"
"0x4f8f40", "0xf8f40", "flt_4F8F40", "dd -1.0e1", "-1.e1"
"0x4f8f44", "0xf8f44", "flt_4F8F44", "dd 7.6923078e-1", "7.69230782985687255859375e-1"
